,Age,Potential,Value,Wage,Acceleration,Aggression,Agility,Balance,Ball_control,Composure,Crossing,Curve,Dribbling,Finishing,Sprint_speed,Stamina,Strength,Vision,Preferred_Positions
13455,20,70.0,€450K,3000.0,78,42,74,72,65,51,54,52,66,59,82,65,71,52,ST 
13460,32,62.0,€240K,1000.0,69,48,74,78,58,47,37,51,59,60,56,61,38,56,RW ST CF 
13474,27,62.0,€325K,3000.0,58,54,68,72,59,53,36,61,61,64,56,62,78,42,ST 
13483,25,65.0,€375K,1000.0,80,45,76,72,61,55,48,41,61,60,80,71,65,52,CF ST 
13497,23,67.0,€400K,2000.0,77,56,68,53,64,53,54,48,65,62,81,62,71,55,ST 
13503,20,69.0,€425K,1000.0,78,51,65,57,45,61,25,32,52,69,78,57,58,45,ST 
13508,27,63.0,€350K,2000.0,70,60,58,52,53,59,40,40,56,63,62,66,84,54,ST 
13510,20,72.0,€500K,2000.0,70,55,69,77,63,51,25,32,56,62,68,67,62,53,ST 
13517,29,62.0,€300K,2000.0,60,46,66,54,58,43,26,27,61,60,60,74,77,52,ST 
13520,17,72.0,€425K,1000.0,63,53,57,64,64,58,40,46,60,62,66,50,55,49,RW ST 
13521,24,66.0,€400K,3000.0,75,47,63,63,63,61,41,45,49,61,64,77,82,44,ST 
13525,20,76.0,€675K,2000.0,72,35,68,64,56,52,48,54,64,61,77,70,71,55,ST 
13526,18,80.0,€625K,7000.0,76,34,66,69,63,51,48,49,64,64,80,68,57,53,LM ST 
13544,20,75.0,€600K,7000.0,65,26,51,52,58,51,35,50,61,70,62,60,68,47,ST 
13554,31,62.0,€270K,1000.0,64,56,68,50,61,58,30,39,62,66,62,52,78,48,ST 
13559,17,72.0,€425K,2000.0,78,25,74,68,62,63,27,49,62,65,80,63,65,60,RW ST 
13562,21,72.0,€500K,1000.0,75,50,59,63,61,54,36,58,62,63,65,64,73,60,ST 
13566,29,62.0,€300K,1000.0,62,45,58,62,58,62,35,58,52,58,66,58,71,54,ST 
13569,35,62.0,€140K,1000.0,41,78,56,58,58,71,54,45,51,53,46,57,86,50,CB ST 
13573,25,64.0,€375K,2000.0,45,83,42,44,54,55,27,36,45,61,52,51,84,42,ST 
13579,19,77.0,€650K,6000.0,65,41,58,59,63,56,38,45,59,66,63,56,70,38,ST 
13583,20,75.0,€600K,9000.0,62,39,66,53,55,57,41,42,53,62,55,61,77,50,ST 
13597,23,71.0,€475K,4000.0,64,45,55,53,63,50,36,52,61,60,71,57,78,48,ST 
13602,19,79.0,€650K,2000.0,72,30,70,70,64,52,42,51,68,58,74,62,61,59,ST 
13604,23,69.0,€425K,1000.0,65,63,66,58,55,59,31,57,53,66,64,62,78,39,ST 
13608,25,66.0,€400K,1000.0,68,61,48,57,52,49,28,48,55,66,61,48,66,32,ST 
13618,26,63.0,€375K,5000.0,58,41,56,66,62,42,45,47,60,65,66,73,80,57,ST 
13622,18,78.0,€625K,2000.0,74,32,77,62,63,63,40,44,55,66,69,46,56,46,ST 
13624,25,65.0,€375K,2000.0,69,73,71,54,55,54,44,45,47,61,69,73,78,43,CAM ST 
13625,20,73.0,€525K,1000.0,71,38,63,56,65,53,30,46,58,60,73,53,72,53,ST 
13632,31,62.0,€270K,2000.0,47,90,48,33,63,56,48,38,52,63,54,83,81,49,ST 
13633,27,63.0,€350K,2000.0,65,30,56,71,58,48,37,52,72,67,62,51,59,60,ST 
13641,32,62.0,€240K,1000.0,70,60,66,67,55,60,45,51,54,64,78,73,64,48,ST 
13643,26,64.0,€375K,3000.0,66,31,65,63,56,60,31,35,51,69,68,58,61,43,ST 
13644,29,62.0,€300K,2000.0,75,67,70,67,53,52,49,43,54,60,72,83,76,48,ST 
13654,22,71.0,€475K,2000.0,82,25,74,70,58,55,34,58,64,59,82,54,53,40,ST 
13655,24,67.0,€400K,1000.0,67,39,67,64,66,54,51,47,65,63,66,59,63,51,CAM ST 
13677,19,72.0,€425K,3000.0,55,51,62,52,61,51,31,28,61,61,55,59,71,58,ST 
13678,21,68.0,€350K,1000.0,76,33,61,68,61,54,51,41,64,64,72,65,53,54,ST 
13681,22,70.0,€400K,8000.0,80,31,90,74,62,58,37,50,59,62,81,62,61,53,ST LW 
13686,19,73.0,€450K,1000.0,84,34,56,63,61,64,32,40,55,60,88,57,58,49,ST 
13690,24,68.0,€350K,1000.0,71,82,62,55,58,62,30,37,52,60,74,75,79,43,ST 
13699,25,66.0,€325K,2000.0,71,44,68,77,52,57,54,52,57,60,71,60,55,61,LM ST CAM 
13702,24,65.0,€325K,2000.0,64,37,71,64,57,52,33,32,55,63,67,50,70,48,ST 
13703,20,73.0,€450K,6000.0,72,42,68,66,61,48,42,46,55,62,75,55,64,43,ST 
13704,23,68.0,€350K,2000.0,61,62,63,65,55,53,34,39,53,66,59,56,69,48,ST 
13709,29,61.0,€250K,3000.0,78,64,77,83,56,53,42,54,55,60,76,75,61,57,RM RW ST 
13729,20,72.0,€450K,4000.0,78,35,65,55,62,47,45,37,64,58,77,57,71,54,ST 
13734,27,61.0,€0,0.0,63,34,62,57,58,46,33,34,60,64,57,66,77,47,ST 
13756,19,71.0,€400K,3000.0,62,47,69,68,58,56,48,47,59,63,64,46,57,53,ST 
13760,22,67.0,€350K,2000.0,68,32,63,72,61,46,36,44,58,63,62,58,65,53,ST 
13763,22,69.0,€375K,9000.0,70,39,74,66,63,50,47,54,64,64,74,53,51,46,ST 
13764,20,78.0,€550K,8000.0,83,27,65,71,61,51,39,38,58,64,87,73,50,40,ST 
13780,29,61.0,€250K,1000.0,51,55,56,57,58,48,31,29,56,62,61,59,79,52,ST 
13785,21,71.0,€400K,1000.0,75,54,71,77,64,59,33,63,64,62,73,53,65,58,ST RM 
13788,20,70.0,€400K,2000.0,66,40,73,55,63,51,48,60,62,62,61,74,78,52,ST 
13790,25,64.0,€0,0.0,58,19,65,58,57,30,43,55,51,72,69,69,21,38,ST 
13794,29,61.0,€250K,1000.0,63,59,64,67,61,56,41,54,56,59,60,59,67,46,ST 
13802,19,78.0,€550K,1000.0,51,45,53,51,57,48,23,27,44,62,57,62,84,48,ST 
13806,20,70.0,€400K,4000.0,54,56,51,58,63,58,41,48,57,67,58,62,57,51,ST 
13808,21,69.0,€375K,2000.0,75,38,62,79,62,59,61,55,65,62,77,57,52,53,ST RW 
13810,21,75.0,€550K,9000.0,79,37,67,57,58,56,51,44,62,57,78,65,63,55,ST RM 
13811,18,76.0,€525K,4000.0,77,40,65,78,60,51,39,42,68,63,77,66,34,50,ST 
13813,21,74.0,€0,0.0,63,49,55,50,63,56,61,44,60,64,66,57,60,54,RM LM ST 
13815,19,75.0,€550K,3000.0,68,64,67,67,54,60,34,48,53,62,64,54,74,38,ST 
13833,20,74.0,€500K,2000.0,77,27,70,65,64,52,31,50,65,61,70,50,60,49,ST 
13835,21,69.0,€375K,2000.0,77,36,75,82,60,55,49,52,60,61,76,54,55,55,LM ST 
13837,21,69.0,€375K,1000.0,74,55,72,61,65,58,51,44,68,61,76,64,57,59,CM ST 
13841,21,70.0,€400K,6000.0,64,34,52,51,62,57,42,40,59,58,71,60,73,41,ST 
13853,26,64.0,€325K,1000.0,71,34,74,66,59,53,38,44,56,59,70,67,66,46,ST 
13866,20,75.0,€550K,2000.0,75,49,75,83,60,61,49,57,67,61,77,57,49,42,ST RW LW 
13870,21,73.0,€450K,3000.0,80,52,73,72,63,44,52,51,67,56,75,60,58,56,ST 
13872,23,69.0,€375K,2000.0,60,29,52,68,53,53,38,42,55,70,48,56,42,47,ST 
13875,20,77.0,€550K,5000.0,70,38,68,76,61,60,43,54,64,56,75,55,68,51,ST 
13879,25,65.0,€325K,1000.0,65,42,54,54,67,59,35,39,64,65,60,59,69,52,ST 
13881,20,72.0,€450K,8000.0,76,53,72,72,61,58,52,48,64,65,74,63,61,47,ST 
13887,21,71.0,€400K,2000.0,74,48,61,75,57,48,48,44,60,58,72,67,55,54,CAM ST LM 
13900,21,70.0,€400K,1000.0,76,34,74,62,59,58,47,58,60,46,79,77,57,50,LW ST 
13901,21,71.0,€425K,2000.0,56,32,53,51,55,50,32,43,55,75,54,61,59,45,ST 
13903,28,61.0,€260K,2000.0,81,53,76,66,54,61,41,33,62,60,80,86,67,56,ST 
13909,20,71.0,€425K,4000.0,83,29,74,69,60,47,35,40,54,68,82,67,54,48,ST 
13910,26,63.0,€300K,1000.0,76,26,64,59,58,55,43,45,59,62,67,69,58,49,CAM ST 
13918,22,66.0,€350K,3000.0,80,31,72,70,59,51,33,48,68,64,78,58,58,56,CAM ST 
13922,23,68.0,€350K,1000.0,83,38,75,81,55,53,54,49,61,59,81,62,57,60,ST LW RW 
13924,17,79.0,€500K,5000.0,71,48,66,82,65,58,56,60,59,67,72,41,41,50,ST RW 
13925,33,61.0,€160K,3000.0,56,52,56,66,61,58,49,45,57,64,60,59,64,51,ST 
13926,23,68.0,€350K,3000.0,70,74,61,43,57,36,31,33,51,65,67,51,77,31,ST 
13937,18,77.0,€525K,1000.0,77,38,60,90,60,51,54,42,66,63,79,59,40,53,RM ST 
13945,17,83.0,€550K,6000.0,69,36,76,77,72,58,54,58,73,65,61,52,31,52,ST 
13953,22,67.0,€350K,2000.0,60,48,46,51,52,55,27,30,44,65,62,56,88,47,ST 
13954,22,72.0,€425K,6000.0,72,64,70,66,60,48,62,48,66,61,69,74,64,47,RW LW ST 
13956,22,67.0,€350K,1000.0,78,32,58,76,65,56,56,63,61,62,75,62,55,53,RM ST 
13967,20,69.0,€375K,2000.0,74,32,77,91,63,60,30,47,59,65,73,42,33,46,LM CAM ST 
13973,22,69.0,€375K,2000.0,86,35,72,72,60,66,56,49,64,54,87,46,54,51,LW ST RW 
13974,32,61.0,€200K,3000.0,53,66,47,56,58,60,32,44,51,61,51,77,83,48,ST 
13985,25,65.0,€325K,2000.0,63,64,50,57,58,57,57,27,55,58,68,71,78,59,ST 
13989,28,61.0,€260K,2000.0,63,43,71,63,56,57,34,64,60,65,70,60,72,49,ST 
13998,21,71.0,€425K,3000.0,72,31,56,64,65,46,35,43,56,63,68,62,61,50,ST 
14001,25,65.0,€325K,4000.0,71,54,57,42,59,60,30,32,52,62,67,58,84,47,ST 
14012,22,71.0,€400K,5000.0,56,30,52,44,56,52,41,43,58,72,54,50,74,51,ST 
14024,20,69.0,€375K,2000.0,74,33,70,68,62,58,40,49,61,65,70,57,60,53,ST 
14034,18,81.0,€525K,3000.0,76,52,71,77,62,53,44,57,64,63,74,57,53,56,RW ST CF CAM 
14039,24,64.0,€325K,1000.0,62,70,64,58,61,53,27,33,47,60,59,69,79,45,ST 
14041,29,61.0,€250K,1000.0,75,31,74,70,65,52,47,35,64,53,76,70,60,55,RM ST 
14047,18,78.0,€525K,6000.0,55,39,52,56,56,56,36,48,57,67,58,55,56,54,ST 
14052,22,70.0,€400K,8000.0,72,51,56,45,59,50,49,48,58,59,67,68,83,41,ST 
14053,21,68.0,€350K,2000.0,77,61,63,66,54,49,34,34,57,55,77,71,75,40,ST 
14056,19,72.0,€425K,1000.0,77,64,71,82,62,53,36,46,68,60,76,69,45,65,CAM ST RM 
14069,28,61.0,€260K,2000.0,63,55,58,56,61,50,39,46,58,58,59,58,77,55,CF ST 
14072,20,73.0,€450K,3000.0,48,59,48,67,60,55,32,34,53,63,53,55,64,57,ST 
14077,19,77.0,€550K,4000.0,64,30,61,40,59,52,41,50,58,62,68,56,70,55,ST 
14078,21,71.0,€425K,4000.0,53,33,63,63,74,62,44,58,69,71,46,57,34,53,ST 
14082,21,68.0,€0,0.0,70,59,59,57,55,55,35,41,59,62,66,51,56,49,CAM ST 
14108,21,70.0,€400K,3000.0,58,30,55,64,52,46,34,48,65,71,57,54,56,49,ST 
14116,18,79.0,€525K,2000.0,65,29,57,60,59,38,30,38,58,63,65,72,75,34,ST 
14122,18,75.0,€525K,6000.0,78,54,56,59,57,55,42,34,60,67,79,38,48,45,ST 
14124,25,65.0,€325K,2000.0,67,55,72,71,59,64,49,48,56,62,67,64,60,62,ST 
14128,21,67.0,€350K,1000.0,60,36,61,50,58,58,42,53,57,62,60,57,72,39,ST 
14130,36,61.0,€80K,3000.0,40,71,58,59,60,66,57,55,58,56,33,40,65,68,ST CDM CM 
14131,23,68.0,€350K,4000.0,68,45,67,72,61,52,45,48,57,63,53,49,54,51,ST 
14132,22,65.0,€325K,4000.0,66,33,70,79,61,53,45,53,58,64,65,43,52,58,ST 
14133,27,62.0,€290K,2000.0,80,33,72,61,61,59,36,42,59,62,77,71,74,43,ST 
14134,26,62.0,€300K,3000.0,64,54,54,57,57,45,34,30,57,60,56,45,59,68,ST 
14142,24,67.0,€350K,2000.0,72,27,73,74,60,52,39,41,56,64,74,47,57,45,ST 
14144,21,69.0,€375K,2000.0,63,36,75,73,65,53,31,42,50,68,59,54,48,61,ST 
14148,20,69.0,€375K,3000.0,86,45,73,64,61,59,28,36,56,64,76,57,41,45,LW ST 
14150,19,74.0,€475K,7000.0,77,33,52,66,60,53,48,41,58,57,78,62,73,54,ST 
14152,23,67.0,€350K,2000.0,64,51,61,66,52,59,33,32,56,59,73,68,52,55,RW ST 
14154,23,65.0,€325K,2000.0,77,48,81,68,61,47,47,53,60,63,78,68,69,45,ST 
14162,19,76.0,€550K,6000.0,87,58,74,72,57,44,31,39,60,59,81,63,57,42,RW LW ST 
14175,26,64.0,€325K,4000.0,75,60,66,67,51,55,40,38,58,62,73,58,72,48,ST 
14177,29,61.0,€0,0.0,54,52,48,59,47,51,24,33,54,70,58,74,68,43,ST 
14181,24,65.0,€325K,3000.0,70,60,63,61,56,55,44,36,59,60,67,69,72,44,ST 
14184,22,69.0,€375K,2000.0,54,33,61,69,59,55,41,42,53,61,64,52,59,55,ST 
14186,27,62.0,€290K,1000.0,68,52,79,62,58,60,57,56,57,59,69,65,71,58,CAM LW ST 
14195,28,61.0,€250K,2000.0,80,56,93,82,60,46,60,55,58,50,81,70,59,50,ST LM RM 
14198,18,76.0,€525K,2000.0,81,60,74,81,60,47,48,51,61,61,76,61,58,54,ST RM 
14202,18,77.0,€525K,2000.0,70,36,69,56,58,58,39,49,61,61,63,48,66,51,LW ST 
14206,29,61.0,€250K,5000.0,75,64,66,68,58,49,37,44,60,62,80,63,66,48,ST 
14212,20,77.0,€550K,2000.0,69,49,64,70,60,56,42,48,61,57,77,75,66,50,ST 
14228,20,72.0,€450K,1000.0,85,26,78,73,58,48,55,37,64,62,83,54,48,56,RM ST 
14229,23,66.0,€350K,6000.0,69,36,74,72,60,51,28,52,62,63,68,59,51,56,ST 
14237,20,70.0,€400K,4000.0,73,45,58,50,58,52,33,42,61,63,69,69,74,51,ST 
14242,23,69.0,€375K,2000.0,70,33,65,67,53,62,42,36,47,65,71,58,74,59,ST 
14246,25,64.0,€325K,3000.0,78,56,64,67,58,55,64,47,61,66,77,59,73,49,ST RM 
14250,33,61.0,€160K,4000.0,34,80,44,46,61,57,21,35,45,61,40,58,94,60,CF ST 
14251,18,76.0,€525K,2000.0,79,45,71,76,59,54,41,41,68,62,81,48,60,53,ST 
14262,19,77.0,€550K,3000.0,78,29,84,85,61,45,37,38,58,63,82,63,39,42,ST 
14270,20,71.0,€425K,1000.0,84,40,75,73,57,60,40,44,59,60,82,68,65,50,ST 
14271,28,61.0,€260K,2000.0,64,72,71,63,60,52,43,64,59,61,63,68,72,54,ST CF 
14278,28,61.0,€260K,3000.0,74,62,73,67,62,58,56,45,64,61,74,69,69,54,LB LM ST 
14283,25,66.0,€350K,3000.0,33,58,34,33,61,51,36,41,58,61,50,59,82,52,ST 
14294,23,65.0,€325K,2000.0,73,35,86,71,60,48,41,42,59,64,76,73,50,48,LW ST 
14302,22,70.0,€400K,5000.0,80,35,77,71,58,43,55,34,55,65,78,62,65,48,ST 
14308,24,66.0,€350K,1000.0,70,30,68,68,60,50,50,41,64,58,71,79,61,43,ST 
14311,18,77.0,€525K,4000.0,69,32,58,72,52,56,32,42,65,66,74,58,74,48,ST 
14318,25,66.0,€350K,3000.0,63,51,53,50,54,57,22,33,43,62,68,63,72,43,ST 
14320,21,68.0,€350K,3000.0,53,34,58,59,59,45,39,46,58,61,55,62,85,44,ST 
14326,23,66.0,€350K,1000.0,52,35,51,62,53,57,39,45,60,65,52,60,64,52,ST 
14343,23,66.0,€350K,1000.0,60,56,50,46,59,53,35,25,57,65,58,60,78,50,ST 
14344,22,73.0,€450K,2000.0,81,36,71,63,64,58,53,48,68,60,80,66,71,44,ST RW 
14348,20,73.0,€450K,14000.0,62,44,56,58,66,69,60,55,63,62,55,53,63,59,ST CAM CM 
14353,30,61.0,€240K,2000.0,42,39,71,75,60,67,28,39,62,65,50,52,61,52,ST 
14355,18,73.0,€425K,1000.0,76,39,71,80,62,56,57,47,63,58,74,66,56,54,ST LM 
14368,20,70.0,€290K,1000.0,67,64,65,46,49,45,27,33,49,55,67,72,64,47,ST LB CB 
14396,21,72.0,€375K,2000.0,78,32,77,76,56,50,57,37,64,60,76,54,40,56,ST LW 
14403,18,76.0,€425K,3000.0,64,32,54,64,57,51,41,49,54,61,62,65,63,46,ST 
14406,20,72.0,€375K,1000.0,70,52,69,71,57,43,38,40,50,66,72,61,48,52,ST 
14408,24,65.0,€280K,1000.0,54,69,58,34,54,56,29,46,52,62,55,57,83,48,ST 
14411,22,70.0,€325K,2000.0,63,30,60,55,60,51,36,34,57,61,68,74,71,52,ST 
14427,21,71.0,€350K,1000.0,53,31,56,72,60,51,37,43,57,63,53,56,37,58,ST 
14428,18,68.0,€280K,1000.0,67,30,62,60,46,54,47,43,57,61,65,59,50,48,CF ST 
14431,21,71.0,€350K,1000.0,69,43,71,83,59,56,39,44,58,63,66,81,41,52,RW ST 
14432,18,75.0,€425K,1000.0,80,30,85,85,62,61,32,58,60,57,81,86,35,55,ST LM 
14433,18,79.0,€425K,1000.0,55,31,52,54,59,46,34,43,59,64,60,70,68,50,ST 
14438,19,71.0,€350K,1000.0,58,50,56,44,54,55,27,28,56,60,65,65,72,43,ST 
14439,19,72.0,€375K,1000.0,72,39,66,62,60,52,52,46,58,66,69,40,47,42,LW ST 
14441,20,71.0,€350K,2000.0,71,27,62,65,60,59,56,44,63,63,68,70,63,55,RM ST 
14443,28,60.0,€210K,2000.0,60,78,71,57,58,34,35,48,48,64,58,79,76,39,ST 
14465,23,66.0,€290K,1000.0,80,27,69,69,57,61,25,42,64,61,79,75,57,54,RW ST 
14466,25,65.0,€280K,2000.0,52,60,63,59,64,60,37,41,58,56,62,66,80,52,ST 
14471,19,73.0,€400K,1000.0,80,30,78,58,58,54,38,51,65,60,78,56,67,54,ST 
14472,27,60.0,€220K,1000.0,67,45,63,61,56,54,40,48,53,58,62,77,66,50,ST 
14475,26,63.0,€260K,1000.0,68,29,66,68,60,46,55,69,69,57,65,58,41,60,ST CF 
14478,18,74.0,€425K,1000.0,61,38,67,66,60,54,55,57,62,58,59,61,43,60,ST CAM 
14480,22,66.0,€290K,4000.0,59,31,59,55,54,55,38,44,59,66,60,53,65,45,LW ST 
14481,20,69.0,€325K,1000.0,65,36,62,70,57,53,41,48,51,64,69,55,63,56,ST 
14482,20,68.0,€300K,4000.0,63,33,61,57,54,52,38,44,59,63,56,58,64,53,ST 
14485,22,66.0,€290K,1000.0,59,30,65,62,57,53,32,44,64,66,56,60,68,46,ST 
14499,20,72.0,€375K,2000.0,69,68,81,65,57,50,48,65,63,61,68,70,60,54,LM RM ST 
14501,18,76.0,€425K,3000.0,73,57,61,58,60,53,34,40,57,59,75,53,66,49,ST 
14503,22,69.0,€325K,3000.0,68,48,68,66,67,50,50,54,65,56,68,50,64,51,RW LW ST 
14517,30,60.0,€200K,1000.0,62,56,71,62,58,59,29,41,58,63,68,73,59,50,ST 
14525,25,62.0,€260K,1000.0,67,70,67,76,60,54,25,31,46,58,69,77,78,48,ST 
14526,33,60.0,€130K,2000.0,51,62,45,53,58,51,60,43,55,55,50,73,74,60,ST 
14540,21,68.0,€300K,2000.0,69,30,56,74,59,52,39,44,60,61,67,57,56,49,LW ST 
14542,23,66.0,€290K,1000.0,49,54,64,58,60,54,33,35,57,59,61,63,72,50,ST 
14546,19,73.0,€400K,3000.0,72,49,66,54,53,52,45,45,61,59,70,63,73,56,ST 
14549,27,60.0,€220K,2000.0,71,53,45,57,61,50,67,49,57,58,67,66,72,54,LM ST LW RW 
14552,25,65.0,€280K,2000.0,73,33,56,67,53,51,34,42,57,61,72,59,69,53,ST 
14553,19,71.0,€350K,2000.0,63,37,67,65,56,55,43,45,55,63,64,58,56,52,ST 
14554,23,67.0,€300K,2000.0,66,46,62,55,57,47,30,34,62,63,74,60,71,42,ST 
14555,22,68.0,€300K,3000.0,72,36,67,53,61,55,54,54,59,62,75,73,74,58,ST 
14558,26,62.0,€250K,1000.0,55,57,37,46,57,52,35,39,50,53,40,54,89,42,ST 
14565,26,61.0,€250K,1000.0,74,29,70,77,63,50,44,39,66,64,73,48,43,39,ST 
14567,19,72.0,€375K,6000.0,68,60,51,76,62,54,31,42,59,63,69,62,78,51,ST 
14578,23,64.0,€270K,2000.0,69,38,67,64,56,64,36,38,49,60,65,60,71,23,ST 
14580,22,71.0,€350K,1000.0,68,25,56,64,53,46,29,30,55,60,70,57,72,46,ST 
14581,18,79.0,€425K,4000.0,87,45,72,80,58,48,31,39,54,59,82,60,56,43,ST 
14586,21,72.0,€375K,5000.0,66,50,56,57,63,55,58,47,60,57,54,64,67,56,RW LW ST 
14590,23,67.0,€300K,1000.0,84,28,74,63,59,58,47,55,57,61,85,54,48,49,ST 
14595,25,62.0,€260K,1000.0,53,38,57,49,51,55,46,37,46,62,60,59,85,46,RW ST 
14602,22,66.0,€290K,2000.0,54,56,32,41,53,46,32,43,54,61,57,60,81,51,ST 
14620,20,73.0,€400K,2000.0,77,38,74,73,58,58,54,45,60,57,75,53,59,60,ST CAM 
14630,19,71.0,€350K,1000.0,69,27,60,71,63,52,47,36,60,65,78,63,50,49,LM ST 
14631,22,70.0,€325K,2000.0,74,37,59,65,58,53,35,44,50,62,67,62,63,51,ST 
14632,20,74.0,€450K,1000.0,69,32,59,67,63,55,32,44,61,64,55,50,47,51,LW ST 
14641,22,68.0,€300K,2000.0,76,31,78,72,59,55,56,52,62,55,76,70,72,50,LM ST CAM RM 
14642,24,66.0,€280K,1000.0,83,46,73,68,59,53,43,49,61,57,87,70,47,54,ST RM LM 
14643,26,62.0,€250K,2000.0,72,38,65,61,47,56,26,34,59,64,74,72,62,44,ST 
14648,19,71.0,€350K,4000.0,66,38,58,68,58,54,42,48,55,65,64,57,48,45,ST 
14656,24,65.0,€280K,3000.0,52,48,68,52,55,55,22,35,58,60,53,54,72,55,ST 
14664,17,78.0,€425K,1000.0,67,28,77,74,59,57,35,51,63,62,67,62,65,55,LW ST 
14686,21,68.0,€300K,2000.0,64,33,47,61,53,50,48,41,61,59,72,53,74,45,ST 
14690,20,70.0,€350K,1000.0,74,38,65,65,67,68,45,55,60,60,70,67,60,60,ST 
14699,24,64.0,€270K,1000.0,44,59,48,38,56,53,29,37,52,63,35,52,84,49,ST 
14706,29,60.0,€210K,1000.0,62,82,54,50,54,44,32,35,55,57,60,69,82,43,ST 
14710,22,65.0,€280K,1000.0,76,44,72,64,60,62,41,46,59,60,78,65,78,46,ST 
14715,24,66.0,€290K,1000.0,89,30,91,90,63,47,34,33,65,59,82,68,37,43,ST 
14718,19,75.0,€450K,1000.0,78,36,76,72,61,45,40,38,60,65,68,59,57,35,ST 
14719,28,60.0,€210K,1000.0,52,60,67,53,63,58,35,55,55,64,56,64,62,50,ST 
14723,26,61.0,€0,0.0,77,47,69,58,57,47,31,47,51,63,74,56,59,46,LM ST 
14728,21,69.0,€325K,5000.0,77,49,73,79,62,52,44,42,67,59,71,72,63,41,CAM RM ST 
14731,20,73.0,€400K,4000.0,59,35,52,51,54,50,45,40,59,65,60,45,46,52,ST 
14732,17,83.0,€450K,3000.0,70,31,56,66,67,54,34,48,69,66,69,61,53,46,ST 
14736,27,61.0,€240K,1000.0,81,55,82,60,59,54,52,53,58,59,87,68,47,56,LM ST 
14739,26,61.0,€250K,2000.0,72,28,57,69,54,49,53,42,65,67,66,57,57,48,LM ST 
14742,21,68.0,€300K,1000.0,74,30,79,76,65,51,63,42,66,63,73,43,35,56,ST 
14750,28,60.0,€210K,2000.0,65,54,64,70,57,64,61,48,56,57,66,61,67,48,CAM RM ST 
14763,20,67.0,€300K,1000.0,76,64,74,70,61,55,45,52,64,62,77,66,54,46,ST 
14769,19,69.0,€300K,4000.0,67,39,54,64,62,53,61,49,65,64,69,45,57,52,ST LW RW 
14774,24,63.0,€270K,2000.0,65,52,58,62,57,57,44,49,55,59,66,64,74,32,ST 
14775,20,70.0,€350K,4000.0,82,27,79,72,60,45,32,43,58,61,72,61,57,49,ST 
14780,19,73.0,€400K,1000.0,79,41,74,76,61,55,49,51,63,56,77,46,46,53,ST RM 
14781,18,78.0,€425K,1000.0,71,38,55,64,62,51,43,61,61,62,77,50,61,52,ST 
14790,18,76.0,€425K,7000.0,65,43,61,77,66,61,55,59,65,50,67,69,45,56,ST CM CAM 
14791,18,74.0,€425K,1000.0,82,24,89,85,67,51,46,47,71,61,77,58,32,53,RM ST 
14799,24,65.0,€280K,1000.0,76,51,61,57,50,42,28,28,55,63,73,57,76,49,ST 
14811,20,74.0,€450K,4000.0,73,32,80,70,63,51,32,53,64,58,75,56,62,48,RM LW ST 
14818,32,60.0,€170K,1000.0,46,62,56,60,58,61,43,57,55,61,51,67,83,57,ST 
14828,20,73.0,€400K,7000.0,61,32,55,65,61,46,33,42,57,65,52,51,58,45,ST 
14829,21,66.0,€290K,1000.0,73,34,77,63,59,50,42,52,55,60,69,65,40,39,ST 
14836,20,72.0,€375K,1000.0,74,26,58,63,64,51,29,39,66,66,72,56,55,54,ST 
14843,19,71.0,€350K,4000.0,72,31,68,67,59,51,41,42,54,64,61,52,67,54,RW LW ST 
14845,23,66.0,€290K,2000.0,62,31,66,66,56,47,38,50,60,65,64,51,62,48,ST 
14855,21,71.0,€350K,2000.0,89,58,73,77,62,52,35,37,60,52,90,70,78,43,ST 
14860,23,65.0,€280K,2000.0,91,52,75,75,58,58,52,61,60,58,87,71,58,48,ST CAM 
14862,22,66.0,€290K,3000.0,68,56,64,68,57,47,27,43,59,60,71,52,61,30,LM ST 
14866,20,72.0,€375K,5000.0,89,58,70,69,55,49,29,40,54,58,87,65,73,40,ST 
14881,20,72.0,€375K,2000.0,61,47,66,81,55,56,29,33,46,60,64,69,72,54,ST 
14888,24,64.0,€270K,2000.0,63,53,58,67,59,54,30,34,57,61,67,73,72,47,ST 
14889,23,68.0,€300K,1000.0,58,59,52,50,60,53,26,49,56,62,58,64,73,47,ST 
14896,36,60.0,€70K,1000.0,68,46,61,70,53,53,62,43,60,56,62,58,76,59,LW RW RM ST 
14899,21,69.0,€325K,2000.0,63,31,57,65,59,53,35,48,60,65,60,56,49,57,ST 
14909,21,71.0,€350K,2000.0,76,63,65,84,62,63,49,58,63,59,76,64,90,43,RM ST 
14913,19,69.0,€325K,2000.0,59,26,51,54,55,45,29,38,59,64,59,50,54,41,ST 
14919,28,60.0,€210K,2000.0,37,60,54,60,63,52,34,41,50,63,50,59,62,52,ST 
14927,19,76.0,€450K,7000.0,70,49,73,70,58,52,28,42,50,63,67,58,62,47,ST 
14929,24,65.0,€280K,1000.0,85,45,66,60,57,58,50,33,60,56,81,56,74,48,LM RM ST 
14949,23,69.0,€325K,1000.0,72,38,76,68,59,42,39,49,64,67,72,60,59,54,ST 
14950,18,74.0,€425K,3000.0,60,30,59,65,58,54,51,45,57,61,58,54,53,50,ST 
14952,19,77.0,€450K,5000.0,66,33,68,66,61,62,25,48,62,64,68,58,65,41,ST 
